t,state
95149,1.97626e-323
95150,1.97626e-323
95151,1.97626e-323
95152,1.97626e-323
95153,1.97626e-323
95154,1.97626e-323
95155,1.97626e-323
95156,1.97626e-323
95157,1.97626e-323
95158,1.97626e-323
95159,1.97626e-323
95160,1.97626e-323
95161,1.97626e-323
95162,1.97626e-323
95163,1.97626e-323
95164,1.97626e-323
95165,1.97626e-323
95166,1.97626e-323
95167,1.97626e-323
95168,1.97626e-323
95169,1.97626e-323
95170,1.97626e-323
95171,1.97626e-323
95172,1.97626e-323
95173,1.97626e-323
95174,1.97626e-323
95175,1.97626e-323
95176,1.97626e-323
95177,1.97626e-323
95178,1.97626e-323
95179,1.97626e-323
95180,1.97626e-323
95181,1.97626e-323
95182,1.97626e-323
95183,1.97626e-323
95184,1.97626e-323
95185,1.97626e-323
95186,1.97626e-323
95187,1.97626e-323
95188,1.97626e-323
95189,1.97626e-323
95190,1.97626e-323
95191,1.97626e-323
95192,1.97626e-323
95193,1.97626e-323
95194,1.97626e-323
95195,1.97626e-323
95196,1.97626e-323
95197,1.97626e-323
95198,1.97626e-323
95199,1.97626e-323
95200,1.97626e-323
95201,1.97626e-323
95202,1.97626e-323
95203,1.97626e-323
95204,1.97626e-323
95205,1.97626e-323
95206,1.97626e-323
95207,1.97626e-323
95208,1.97626e-323
95209,1.97626e-323
95210,1.97626e-323
95211,1.97626e-323
95212,1.97626e-323
95213,1.97626e-323
95214,1.97626e-323
95215,1.97626e-323
95216,1.97626e-323
95217,1.97626e-323
95218,1.97626e-323
95219,1.97626e-323
95220,1.97626e-323
95221,1.97626e-323
95222,1.97626e-323
95223,1.97626e-323
95224,1.97626e-323
95225,1.97626e-323
95226,1.97626e-323
95227,1.97626e-323
95228,1.97626e-323
95229,1.97626e-323
95230,1.97626e-323
95231,1.97626e-323
95232,1.97626e-323
95233,1.97626e-323
95234,1.97626e-323
95235,1.97626e-323
95236,1.97626e-323
95237,1.97626e-323
95238,1.97626e-323
95239,1.97626e-323
95240,1.97626e-323
95241,1.97626e-323
95242,1.97626e-323
95243,1.97626e-323
95244,1.97626e-323
95245,1.97626e-323
95246,1.97626e-323
95247,1.97626e-323
95248,1.97626e-323
95249,1.97626e-323
95250,1.97626e-323
95251,1.97626e-323
95252,1.97626e-323
95253,1.97626e-323
95254,1.97626e-323
95255,1.97626e-323
95256,1.97626e-323
95257,1.97626e-323
95258,1.97626e-323
95259,1.97626e-323
95260,1.97626e-323
95261,1.97626e-323
95262,1.97626e-323
95263,1.97626e-323
95264,1.97626e-323
95265,1.97626e-323
95266,1.97626e-323
95267,1.97626e-323
95268,1.97626e-323
95269,1.97626e-323
95270,1.97626e-323
95271,1.97626e-323
95272,1.97626e-323
95273,1.97626e-323
95274,1.97626e-323
95275,1.97626e-323
95276,1.97626e-323
95277,1.97626e-323
95278,1.97626e-323
95279,1.97626e-323
95280,1.97626e-323
95281,1.97626e-323
95282,1.97626e-323
95283,1.97626e-323
95284,1.97626e-323
95285,1.97626e-323
95286,1.97626e-323
95287,1.97626e-323
95288,1.97626e-323
95289,1.97626e-323
95290,1.97626e-323
95291,1.97626e-323
95292,1.97626e-323
95293,1.97626e-323
95294,1.97626e-323
95295,1.97626e-323
95296,1.97626e-323
95297,1.97626e-323
95298,1.97626e-323
95299,1.97626e-323
95300,1.97626e-323
95301,1.97626e-323
95302,1.97626e-323
95303,1.97626e-323
95304,1.97626e-323
95305,1.97626e-323
95306,1.97626e-323
95307,1.97626e-323
95308,1.97626e-323
95309,1.97626e-323
95310,1.97626e-323
95311,1.97626e-323
95312,1.97626e-323
95313,1.97626e-323
95314,1.97626e-323
95315,1.97626e-323
95316,1.97626e-323
95317,1.97626e-323
95318,1.97626e-323
95319,1.97626e-323
95320,1.97626e-323
95321,1.97626e-323
95322,1.97626e-323
95323,1.97626e-323
95324,1.97626e-323
95325,1.97626e-323
95326,1.97626e-323
95327,1.97626e-323
95328,1.97626e-323
95329,1.97626e-323
95330,1.97626e-323
95331,1.97626e-323
95332,1.97626e-323
95333,1.97626e-323
95334,1.97626e-323
95335,1.97626e-323
95336,1.97626e-323
95337,1.97626e-323
95338,1.97626e-323
95339,1.97626e-323
95340,1.97626e-323
95341,1.97626e-323
95342,1.97626e-323
95343,1.97626e-323
95344,1.97626e-323
95345,1.97626e-323
95346,1.97626e-323
95347,1.97626e-323
95348,1.97626e-323
95349,1.97626e-323
95350,1.97626e-323
95351,1.97626e-323
95352,1.97626e-323
95353,1.97626e-323
95354,1.97626e-323
95355,1.97626e-323
95356,1.97626e-323
95357,1.97626e-323
95358,1.97626e-323
95359,1.97626e-323
95360,1.97626e-323
95361,1.97626e-323
95362,1.97626e-323
95363,1.97626e-323
95364,1.97626e-323
95365,1.97626e-323
95366,1.97626e-323
95367,1.97626e-323
95368,1.97626e-323
95369,1.97626e-323
95370,1.97626e-323
95371,1.97626e-323
95372,1.97626e-323
95373,1.97626e-323
95374,1.97626e-323
95375,1.97626e-323
95376,1.97626e-323
95377,1.97626e-323
95378,1.97626e-323
95379,1.97626e-323
95380,1.97626e-323
95381,1.97626e-323
95382,1.97626e-323
95383,1.97626e-323
95384,1.97626e-323
95385,1.97626e-323
95386,1.97626e-323
95387,1.97626e-323
95388,1.97626e-323
95389,1.97626e-323
95390,1.97626e-323
95391,1.97626e-323
95392,1.97626e-323
95393,1.97626e-323
95394,1.97626e-323
95395,1.97626e-323
95396,1.97626e-323
95397,1.97626e-323
95398,1.97626e-323
95399,1.97626e-323
95400,1.97626e-323
95401,1.97626e-323
95402,1.97626e-323
95403,1.97626e-323
95404,1.97626e-323
95405,1.97626e-323
95406,1.97626e-323
95407,1.97626e-323
95408,1.97626e-323
95409,1.97626e-323
95410,1.97626e-323
95411,1.97626e-323
95412,1.97626e-323
95413,1.97626e-323
95414,1.97626e-323
95415,1.97626e-323
95416,1.97626e-323
95417,1.97626e-323
95418,1.97626e-323
95419,1.97626e-323
95420,1.97626e-323
95421,1.97626e-323
95422,1.97626e-323
95423,1.97626e-323
95424,1.97626e-323
95425,1.97626e-323
95426,1.97626e-323
95427,1.97626e-323
95428,1.97626e-323
95429,1.97626e-323
95430,1.97626e-323
95431,1.97626e-323
95432,1.97626e-323
95433,1.97626e-323
95434,1.97626e-323
95435,1.97626e-323
95436,1.97626e-323
95437,1.97626e-323
95438,1.97626e-323
95439,1.97626e-323
95440,1.97626e-323
95441,1.97626e-323
95442,1.97626e-323
95443,1.97626e-323
95444,1.97626e-323
95445,1.97626e-323
95446,1.97626e-323
95447,1.97626e-323
95448,1.97626e-323
95449,1.97626e-323
95450,1.97626e-323
95451,1.97626e-323
95452,1.97626e-323
95453,1.97626e-323
95454,1.97626e-323
95455,1.97626e-323
95456,1.97626e-323
95457,1.97626e-323
95458,1.97626e-323
95459,1.97626e-323
95460,1.97626e-323
95461,1.97626e-323
95462,1.97626e-323
95463,1.97626e-323
95464,1.97626e-323
95465,1.97626e-323
95466,1.97626e-323
95467,1.97626e-323
95468,1.97626e-323
95469,1.97626e-323
95470,1.97626e-323
95471,1.97626e-323
95472,1.97626e-323
95473,1.97626e-323
95474,1.97626e-323
95475,1.97626e-323
95476,1.97626e-323
95477,1.97626e-323
95478,1.97626e-323
95479,1.97626e-323
95480,1.97626e-323
95481,1.97626e-323
95482,1.97626e-323
95483,1.97626e-323
95484,1.97626e-323
95485,1.97626e-323
95486,1.97626e-323
95487,1.97626e-323
95488,1.97626e-323
95489,1.97626e-323
95490,1.97626e-323
95491,1.97626e-323
95492,1.97626e-323
95493,1.97626e-323
95494,1.97626e-323
95495,1.97626e-323
95496,1.97626e-323
95497,1.97626e-323
95498,1.97626e-323
95499,1.97626e-323
95500,1.97626e-323
95501,1.97626e-323
95502,1.97626e-323
95503,1.97626e-323
95504,1.97626e-323
95505,1.97626e-323
95506,1.97626e-323
95507,1.97626e-323
95508,1.97626e-323
95509,1.97626e-323
95510,1.97626e-323
95511,1.97626e-323
95512,1.97626e-323
95513,1.97626e-323
95514,1.97626e-323
95515,1.97626e-323
95516,1.97626e-323
95517,1.97626e-323
95518,1.97626e-323
95519,1.97626e-323
95520,1.97626e-323
95521,1.97626e-323
95522,1.97626e-323
95523,1.97626e-323
95524,1.97626e-323
95525,1.97626e-323
95526,1.97626e-323
95527,1.97626e-323
95528,1.97626e-323
95529,1.97626e-323
95530,1.97626e-323
95531,1.97626e-323
95532,1.97626e-323
95533,1.97626e-323
95534,1.97626e-323
95535,1.97626e-323
95536,1.97626e-323
95537,1.97626e-323
95538,1.97626e-323
95539,1.97626e-323
95540,1.97626e-323
95541,1.97626e-323
95542,1.97626e-323
95543,1.97626e-323
95544,1.97626e-323
95545,1.97626e-323
95546,1.97626e-323
95547,1.97626e-323
95548,1.97626e-323
95549,1.97626e-323
95550,1.97626e-323
95551,1.97626e-323
95552,1.97626e-323
95553,1.97626e-323
95554,1.97626e-323
95555,1.97626e-323
95556,1.97626e-323
95557,1.97626e-323
95558,1.97626e-323
95559,1.97626e-323
95560,1.97626e-323
95561,1.97626e-323
95562,1.97626e-323
95563,1.97626e-323
95564,1.97626e-323
95565,1.97626e-323
95566,1.97626e-323
95567,1.97626e-323
95568,1.97626e-323
95569,1.97626e-323
95570,1.97626e-323
95571,1.97626e-323
95572,1.97626e-323
95573,1.97626e-323
95574,1.97626e-323
95575,1.97626e-323
95576,1.97626e-323
95577,1.97626e-323
95578,1.97626e-323
95579,1.97626e-323
95580,1.97626e-323
95581,1.97626e-323
95582,1.97626e-323
95583,1.97626e-323
95584,1.97626e-323
95585,1.97626e-323
95586,1.97626e-323
95587,1.97626e-323
95588,1.97626e-323
95589,1.97626e-323
95590,1.97626e-323
95591,1.97626e-323
95592,1.97626e-323
95593,1.97626e-323
95594,1.97626e-323
95595,1.97626e-323
95596,1.97626e-323
95597,1.97626e-323
95598,1.97626e-323
95599,1.97626e-323
95600,1.97626e-323
95601,1.97626e-323
95602,1.97626e-323
95603,1.97626e-323
95604,1.97626e-323
95605,1.97626e-323
95606,1.97626e-323
95607,1.97626e-323
95608,1.97626e-323
95609,1.97626e-323
95610,1.97626e-323
95611,1.97626e-323
95612,1.97626e-323
95613,1.97626e-323
95614,1.97626e-323
95615,1.97626e-323
95616,1.97626e-323
95617,1.97626e-323
95618,1.97626e-323
95619,1.97626e-323
95620,1.97626e-323
95621,1.97626e-323
95622,1.97626e-323
95623,1.97626e-323
95624,1.97626e-323
95625,1.97626e-323
95626,1.97626e-323
95627,1.97626e-323
95628,1.97626e-323
95629,1.97626e-323
95630,1.97626e-323
95631,1.97626e-323
95632,1.97626e-323
95633,1.97626e-323
95634,1.97626e-323
95635,1.97626e-323
95636,1.97626e-323
95637,1.97626e-323
95638,1.97626e-323
95639,1.97626e-323
95640,1.97626e-323
95641,1.97626e-323
95642,1.97626e-323
95643,1.97626e-323
95644,1.97626e-323
95645,1.97626e-323
95646,1.97626e-323
95647,1.97626e-323
95648,1.97626e-323
95649,1.97626e-323
95650,1.97626e-323
95651,1.97626e-323
95652,1.97626e-323
95653,1.97626e-323
95654,1.97626e-323
95655,1.97626e-323
95656,1.97626e-323
95657,1.97626e-323
95658,1.97626e-323
95659,1.97626e-323
95660,1.97626e-323
95661,1.97626e-323
95662,1.97626e-323
95663,1.97626e-323
95664,1.97626e-323
95665,1.97626e-323
95666,1.97626e-323
95667,1.97626e-323
95668,1.97626e-323
95669,1.97626e-323
95670,1.97626e-323
95671,1.97626e-323
95672,1.97626e-323
95673,1.97626e-323
95674,1.97626e-323
95675,1.97626e-323
95676,1.97626e-323
95677,1.97626e-323
95678,1.97626e-323
95679,1.97626e-323
95680,1.97626e-323
95681,1.97626e-323
95682,1.97626e-323
95683,1.97626e-323
95684,1.97626e-323
95685,1.97626e-323
95686,1.97626e-323
95687,1.97626e-323
95688,1.97626e-323
95689,1.97626e-323
95690,1.97626e-323
95691,1.97626e-323
95692,1.97626e-323
95693,1.97626e-323
95694,1.97626e-323
95695,1.97626e-323
95696,1.97626e-323
95697,1.97626e-323
95698,1.97626e-323
95699,1.97626e-323
95700,1.97626e-323
95701,1.97626e-323
95702,1.97626e-323
95703,1.97626e-323
95704,1.97626e-323
95705,1.97626e-323
95706,1.97626e-323
95707,1.97626e-323
95708,1.97626e-323
95709,1.97626e-323
95710,1.97626e-323
95711,1.97626e-323
95712,1.97626e-323
95713,1.97626e-323
95714,1.97626e-323
95715,1.97626e-323
95716,1.97626e-323
95717,1.97626e-323
95718,1.97626e-323
95719,1.97626e-323
95720,1.97626e-323
95721,1.97626e-323
95722,1.97626e-323
95723,1.97626e-323
95724,1.97626e-323
